no,telemedicine,review,label
1,klikdokter,"KlikDokter, dokternya pda ramah",positif
2,klikdokter,"Na ,a",netral
3,klikdokter,Oke,positif
4,klikdokter,"Sangat kecewa, udah bayar untuk Konsul malah di batalkan oleh dokternya dan dana yg sudah di bayarkan hangus tidak kembali",negatif
5,klikdokter,Sangat membantu sekali...,positif
6,klikdokter,Aplikasi kurang bagus,negatif
7,klikdokter,"Saya masuk di klik dokter sekarang sulit,, dahulu mudah untuk konsultasi",negatif
8,klikdokter,"udah jangan ditanya, gua sering pake ini dan sekeluarga juga pake. tenang apa aja ada",positif
9,klikdokter,terimakasih atas saran dan tips dr2 klikdokter ini sy jadi gkk mudah panik. penjelasannya sangat jelas dan mental juga jadi ikutan tenang gitu,positif
10,klikdokter,trmks dokter klikdokter selalu respon sy dengan baik. sehat selalu ya,positif
11,klikdokter,Membantu,positif
12,klikdokter,"Alhamdulillah dokter2nya selalu ramah dan penjelasannya enak, sehat selalu ya dok trmksh",positif
13,klikdokter,semoga semakin bermanfaat untuk semua masyarakat buat konsul online yang kaga perlu ribet2 ke rs,positif
14,klikdokter,"Fiturnya lengkap bgt bro,,buat janji medis juga ada,,tebus obat pake resep sendiri pun ada,,makasih banyak ya",positif
15,klikdokter,"menurut w sih emg oke banget buat konsul online, dr2nya responsif dan harganya juga affordable",positif
16,klikdokter,"So far belum pernah kecewa nih semenjak move pake klikdokter ini, dari fitur sampe layanan dokternya jempolan semua",positif
17,klikdokter,jadi tambah nyaman pake aplikasi ini karna makin banyak fitur yang bisa aku pake kaya buat janji medis jadi engga harus ribet lagi,positif
18,klikdokter,tampilannya simple dan harganya jg ramah dikantong. semua lapisan masyarakat bisa sih nikmatin fasilitas ini karna harganya yg ramah dikantong,positif
19,klikdokter,"Alternatif yang pas sebelum kerumah sakit,, bisa Konsul dulu lewat aplikasi. gampang pula bisa kapan aja dan responnya cepet kok",positif
20,klikdokter,"Dokternya baik bgt dan fastrespon pulak, jawaban yg dikasih selalu detail dan gampang dipahami",positif
21,klikdokter,"Proses buat janji medis ga ribet, ditambah kalo mau konsul dg dokter cepet bgt responnya",positif
22,klikdokter,"Sangat membantu disaat sakit, aplikasinya enak dipake tdk ribet dan harganya juga termasuk murah selalu ada diskon",positif
23,klikdokter,"Emak gw suka bgt konsul sm dokter2 di sini, rmah semua katanya aplikasinya juga enakan dipake gkk ribet",positif
24,klikdokter,Gmana cara pembelian obat urotractine?,positif
25,klikdokter,Semoga bermanfaat,positif
26,klikdokter,Good.... And Better....,positif
27,klikdokter,biasa aja,netral
