no,telemedicine,review,label
1,yesdok,"Keren banget aplikasinya. Aku kenal aplikasi ini dari webinar yang angkat isu tentang mental health ketika WFH, suka banget sama temanya karena relate dengan aku dari webinar ini aku tahu bahwa sebenarnya banyak hal yang luput aku perhatikan selama ini mengenai mental health aku ketika bekerja di rumah, sekarang aku dapat banyak insight baru yang bisa aku praktekan satu persatu demi menjaga kesehatan mentalku dan menjadi pekerja yang lebih baik lagi kedepannya.",positif
2,yesdok,"Yesdok aplikasi kesehatan yg bermanfaat selain dapat informasi kesehatan jg bisa konsultasi langsung bersama expert, Harus banget di download dan follow account sosmed nya karena sering ada live sharing session yg informatif dan edukatif terimakasih",positif
3,yesdok,"Dari sejak hamil sampai sekarang tetap seneng konsultasi di yesdok. Respon yg cepat dan analisa yg tepat. Saya percayakan semuanya di yesdok Karna pelayanannya cepat, tepat, dan akurat.",positif
4,yesdok,"responya cepat.. dokternya juga sangat ramah, penyampaiannya juga sangat jelas.. sangat membantu sekali. trimakasih banyak dok",positif
5,yesdok,"Aplikasi yesdok ini sering sekali update. Tapi masih banyak kendala dalam penggunaan aplikasinya. Seperti kalau dibuat berbagi layar dengan aplikasi lain, yesdok tidak bisa berjalan sedangkan aplikasi lain bisa. Selain itu setelah baca berita dan buka aplikasi lain (yang bukan layar terpisah) dan kembali ke aplikasi yesdok, kanal berita kembali ke bagian baris pertama, bukan yg terakhir kita baca. Akhirnya kita harus scroll layar ke bawah. padahal secara spek hp saya mencukupi (RAM 6GB, SD 710)",netral
6,yesdok,"Pilihan menu nya lengkap n mudah dimengerti, event di sosmed nya menarik dan informative. Recommended bgt utk dimiliki 👍💖",positif
7,yesdok,"Sering kali ketika berkonsultasi tiba"" suara dokternya hilang, dan durasi waktu berjalan dan tetap di kenakan biaya. Padahal konsultasi belum kelar, dan terkadang tiba"" terputus sendiri. Nyesel saya download ni aplikasi, udh fiturnya berbayar tp feed backnya gak setimpal dengan dana yg di keluarkan! Dan sekarang saldo saya hangus begitu saja! Sangat"" mengecewakan sekali ni aplikasi!",negatif
8,yesdok,aplikasi yg bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokter✨🥰 keren bgt!,positif
9,yesdok,"Aplikasi yang bagus bnget, bisa mudah konsultasi dengan dokter, bisa lewat videocall juga, pembayaran nya juga mudah.. Dokter nya juga ramah dan profesional.. Tampilan UI nya juga mudah banget dipahami, sip..",positif
10,yesdok,yes dok..aplikasi yang sangat bermanfaat untuk konsultasi tentang kesehatan..,positif
11,yesdok,"parah setiap mau buka harus di upgrade mulu ,padahal cuma keluar beberapa jam pas mau buka lagi harus di upgrade lagi ,coba tingkatkan lagi ,padahal udah bagus isinya kita bisa konsul sama dokter apa saja ada",negatif
12,yesdok,Mempermudah dalam hal kesehatan,positif
13,yesdok,"Nunggunya lama, akhirnya gagal konsultasi karena telat ngangkat telvon",negatif
14,yesdok,"Webinar bersama yes dok membuka wawasan dan pengetahuan baru perihal dunia kesehatan, terutama di masa saat ini. terima kasih yes dok",positif
15,yesdok,Sangat ramah dan sangat baik atas pelayanannya rekomen banget deh dengan aplikasi yang satu ini trimakasih yesdok❤,positif
16,yesdok,"Keren apps nya, bisa konsul secara online tp seperti tatap muka langsung dengan dokternya krn via VC, dpt info pas webinar, penjelasan dokternya pada saat webinar jg mudah di pahami. Overall mantap lah",positif
17,yesdok,"Aplikasi yang benar-benar bermanfaat. Ngga perlu kedokter lagi cukup dirumah,rebahan dan buka aplikasi yes dok trus tau deh penyakit yang diderita. Keren aplikasinya... Pembayarannya juga mudah banget beda ama aplikasi tetangga. Mudah""an aplikasi ini terus dikembangkan.",positif
18,yesdok,"Kok tidak ada untuk dokter hewan? Mohon segera ditambahkan. Karena yg sakit juga bukan cmn manusia. Kucingku juga lagi sakit. Bingung harus konsultasi kemana saat pandemi Covid-19 begini. Pet shop pada tutup, klinik hewan apa lagi. Mohon dibantu :(",negatif
19,yesdok,"Aplikasi YesDok sangat membantu, aplikasi yang ringan, mudah digunakan serta memiliki fitur fitur yg mudah di akses. Selain itu, aplikasi YesDok memberikan layanan 24 jam yang tentunya sangat membantu kita kapanpun. Saya sangat merekomendasikan aplikasi YesDok kepada anda semua.",positif
20,yesdok,"Ada 2 pilihan bahasa: indonesia dan english. Pembayaran untuk konsultasi lebih mudah karena dapat terhubung ke linkaja, dana, debit. Selain membayar ada juga alternatif lain yaitu mengumpulkan point. Pengumpulan point yg mudah dan sangat bermanfaat. Tampilan aplikasi juga baik, dan bahasa mudah dimengerti",positif
21,yesdok,"Aplikasi yang bagus! Dengan aplikasi ini, mempermudah saya berkonsultasi dengan dokter, cukup klik Iewat handphone saya tidak perlu repot pergi ke luar lagi. Sangat cocok untuk yang tidak memiliki waktu luang ke luar. Selain itu di bagian beranda dimuat berita seputar kesehatan juga. Makin suka!",positif
22,yesdok,"Aplikasi yg sangat inovatif, dengan adanya aplikasi ini bisa mebantu kita untuk memantau kesehatan kita setiap saat dimanapun dan kapanpun serta bisa berkonsultasi secara geratis, jangan lupa gunakan referal BIGAGENT untuk dapat voucer voucer menaeik dari yes dok",positif
23,yesdok,Sekarang lebih mudah dan gampang menerima informasi dan konsultasi kesehatan.. Trima kasih yesdok,positif
24,yesdok,"MasyaAllah keren bgt iniii...knp br tau skrg? 😭 App nya User friendly, dokternya ramah bgt, diagnosanya jelas, tdk membingungkan. Baru nyoba ud langsung punya dokter Favorit dong, yeeeeeay! 🥳 Bisa konsultasi Vcol gratisan jg lg 👏🤩 Terima ksh YesDok, terima ksh jg dokter2ku, semoga makin berkah dan sehat selalu.. Aamiin 🙏🥰",positif
25,yesdok,"Aplikasi yang bagus dan sangat membantu sekali, aplikasi yang ringan, mudah di gunakan serta memili fitur fitur yang mudah dia akses. Apalagi dengan keadaan serta kondisi sekarang ini. Tanpa harus keluar rumah kita bisa konsultasi dengan dokter yang profesional. Selain itu aplikasi yesDok memberikan layanan 24 jam tentunya sangat membantu, lebih menghemat waktu, tenaga, uang, dan nyaman. tentunya aplikasi ini sangat rekomendasi sekali.",positif
26,yesdok,"Suka banget sama aplikasi YesDok ini karena aku bisa konsultasi dengan dokter dengan praktis dan efisien kapan dan di mana saja, selain itu juga ada fitur pengumpulan poin yang bisa ditukarkan dengan tawaran menarik yaitu konsultasi gratis. Aplikasinya sangat berguna, good job!",positif
27,yesdok,"Saya sangat marah dgn aplikasi ini, setiap konsul baru juga 20detik pasti langsung terputus tlp nya, katanya koneksi tidak stabil, pdhl kalau diaplikasi lain lancar2 saja! Saldo sudah banyak tp tidak bisa digunakan!",negatif
28,yesdok,"Aplikasi yang sangat bagus dan fleksibel. Dengan menggunakan aplikasi ini kita lebih mudah berkonsultasi pada dokter spesialis kapanpun dan di mana pun. Selain itu aplikasi ini juga menyediakan dua pilihan bahasa, indonesia dan bahasa inggris. Terima kasih yes dok",positif
29,yesdok,"Aplikasi ini sangat bermanfaat karena kita bisa berkonsultasi dengan dokter dan mengetahui seputar penyakit yang kita alami, pokoknya rugi deh kalau nggak download,",positif
30,yesdok,"Aplikasi ini sangat bagus, mudah digunakan. Ada 2 pilihan bahasa yaitu bahasa Indonesia dan bahasa Inggris. Untuk tampilannya sangat simple dan mudah digunakan. Begitu juga untuk pembayaran, sangat mudah dipahami. Aplikasi ini juga memberi manfaat banyak, responnya cepat. Mantapp.",positif
31,yesdok,Applikasinya bagus banget menarik dan dokternya ramah-ramah. Sesuai banget untuk orang yang punya sedikit waktu untuk kedokter jadinya bisa konsultasi disini dengan jawaban yang mudah dimengerti dan sabar hehe,positif
32,yesdok,"Aplikasi yang bagus! Dengan aplikasi ini, mempermudah saya berkonsultasi dengan dokter, cukup klik lewat handphone saya tidak perlu repot pergi ke luar lagi. Sangat cocok untuk yang tidak memiliki waktu luang ke luar. Selain itu di bagian beranda dimuat berita seputar kesehatan juga. Makin suka!",positif
33,yesdok,Cukup baik dalam memberikan solusi dari keluhan penyakit yang dialami. Aplikasinya juga cukup jelas dengan tulisan besar besar cocok bagi yang rabun atau mempunyai gangguan penglihatan. Terima kasih !,positif
34,yesdok,"bagus sekali saya sangat suka baik aplikasi nya maupun dokternya, sangat ramah dan baik",positif
35,yesdok,YesDok sangat bermanfaat. Terlebih lagi untuk yang memiliki rutinitas yang cukup sibuk. Sangat membantu bagipara pekerja kantoran yangbmemng tidk memiliki waktu luang untuk kedokter. Penggunaan aplikasinya juga cukup simpel. Terimakasi Yesdok,positif
